# 3 2.000000000000e+00 4.000000000000e+00 5.000000000000e+00 5.000000000000e-01 3.000000000000e-01 2.000000000000e-01
w       0 3.333333333333e-01 3.333333333333e-01 3.333333333333e-01
w       1 0.000000000000e+00 1.000000000000e+00 0.000000000000e+00
*       1 0.000000000000e+00 9.001157663087e+01 1.796135284144e+00 4.750209847469e+00 3.141592653590e+00 9.001157663087e+01
w       2 0.000000000000e+00 1.000000000000e+00 0.000000000000e+00
*       2 0.000000000000e+00 9.001157663087e+01 1.364762958280e+00 9.918615010883e+01 3.141592653590e+00 9.001157663087e+01
w       3 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00
*       3 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 3.141592653590e+00 9.001157663087e+01
w       4 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*       4 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 4.818942443375e+00 5.107436586085e+00
w       5 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*       5 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 5.014138064859e+00 2.313596342792e+00
w       6 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*       6 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 5.117716571267e+00 4.146249645192e+00
w       7 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*       7 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 5.022668920538e+00 2.338783287374e+00
w       8 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*       8 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 4.797178523599e+00 1.727453728150e+00
w       9 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*       9 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 4.945403611121e+00 1.191542871958e+00
w      10 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*      10 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 5.013408691786e+00 8.469404143409e-01
w      11 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*      11 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 4.919007488069e+00 1.151573914862e+00
w      12 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*      12 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 5.063026258038e+00 1.294034128344e+00
w      13 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*      13 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 5.107540257827e+00 1.845157586478e+00
w      14 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
*      14 9.227985633416e-01 4.811037072118e+00 1.364762958280e+00 9.918615010883e+01 5.207321702675e+00 1.129811593225e+00
w      15 0.000000000000e+00 6.337871819513e-02 9.366212818049e-01
*      15 9.227985633416e-01 4.811037072118e+00 5.782249405512e+00 5.123380154736e+01 5.224765321632e+00 8.348574885619e-01
w      16 0.000000000000e+00 1.002947479063e-01 8.997052520937e-01
*      16 9.227985633416e-01 4.811037072118e+00 1.845672151887e+00 1.016044367411e+02 5.289255926425e+00 1.129117417037e+00
w      17 0.000000000000e+00 2.937601159791e-01 7.062398840209e-01
*      17 9.227985633416e-01 4.811037072118e+00 2.356216369639e+00 8.578035056940e+00 5.317315239930e+00 1.475504085629e+00
w      18 0.000000000000e+00 4.202272083957e-01 5.797727916043e-01
*      18 9.227985633416e-01 4.811037072118e+00 5.121209673334e+00 6.368876189317e+01 5.335623931390e+00 1.236516437864e+00
w      19 0.000000000000e+00 5.881863027854e-01 4.118136972146e-01
*      19 9.227985633416e-01 4.811037072118e+00 2.513179379312e+00 5.372636102407e+00 5.347928848547e+00 1.420890961434e+00
w      20 0.000000000000e+00 4.881341847883e-01 5.118658152117e-01
*      20 9.227985633416e-01 4.811037072118e+00 2.592213965083e+00 1.110226904004e+01 5.327768041946e+00 1.096518298232e+00
w      21 0.000000000000e+00 5.306833237862e-01 4.693166762138e-01
*      21 9.227985633416e-01 4.811037072118e+00 2.415825280654e+00 4.663662984976e+00 5.315933231351e+00 1.316969553520e+00
w      22 0.000000000000e+00 5.264238469072e-01 4.735761530928e-01
*      22 9.227985633416e-01 4.811037072118e+00 2.471485500378e+00 1.201373571721e+01 5.330259134234e+00 1.136063640444e+00
w      23 0.000000000000e+00 3.559031366096e-01 6.440968633904e-01
*      23 9.227985633416e-01 4.811037072118e+00 2.668168839799e+00 2.090791979897e+01 5.303129508500e+00 8.662305999469e-01
w      24 0.000000000000e+00 2.253303621860e-01 7.746696378140e-01
*      24 9.227985633416e-01 4.811037072118e+00 3.009913818651e+00 3.087434138177e+01 5.273383178808e+00 6.886279855171e-01
w      25 0.000000000000e+00 3.122489308655e-01 6.877510691345e-01
*      25 9.227985633416e-01 4.811037072118e+00 2.553885399526e+00 7.923856230910e+00 5.294257231082e+00 8.120718196773e-01
w      26 0.000000000000e+00 3.889959583407e-01 6.110040416593e-01
*      26 9.227985633416e-01 4.811037072118e+00 3.457403290392e+00 2.902678105125e+01 5.299885350948e+00 7.626107266718e-01
w      27 4.868951741256e-02 4.330999816241e-01 5.182105009633e-01
*      27 8.601224151892e-01 4.321000247154e+00 2.351380505139e+00 1.021235018006e+01 5.279565149163e+00 8.712458705253e-01
